Path,Extension,Role,Bytes,Lines
build_one.bat,.bat,build_script,1592,56
compiler/README.md,.md,document,543,18
final/README.md,.md,document,607,20
final/UXM31_FINAL_ARGE_COMPILER.md,.md,document,1257,53
final/build_final.bat,.bat,build_script,386,10
final/examples/README.md,.md,document,578,19
final/examples/dynamic_data_address.uxm,.uxm,uxm_test_or_program,70,6
final/examples/final_probe.uxm,.uxm,uxm_test_or_program,134,9
final/uxm31_compiler_final.bas,.bas,freebasic_source,93753,1608
gercek_durum.md,.md,document,1207,63
ide/README.md,.md,document,533,18
ide/uxminima-vscode/.github/README.md,.md,document,564,18
ide/uxminima-vscode/.github/copilot-instructions.md,.md,document,2409,54
ide/uxminima-vscode/.vscode/README.md,.md,document,573,19
ide/uxminima-vscode/.vscode/launch.json,.json,other,310,13
ide/uxminima-vscode/.vscode/tasks.json,.json,other,282,17
ide/uxminima-vscode/README.md,.md,document,1895,82
ide/uxminima-vscode/docs/README.md,.md,document,705,23
ide/uxminima-vscode/docs/UXM31_FINAL_ARGE_COMPILER.md,.md,document,1257,53
ide/uxminima-vscode/docs/UXM_EXAMPLES.md,.md,document,241,39
ide/uxminima-vscode/docs/UXM_FINAL_IDE_USAGE.md,.md,document,1000,44
ide/uxminima-vscode/docs/UXM_IDE_PROTOCOL.md,.md,document,514,15
ide/uxminima-vscode/docs/UXM_LANGUAGE_SPEC.md,.md,document,933,37
ide/uxminima-vscode/docs/UXM_MEMORY_MODEL.md,.md,document,472,21
ide/uxminima-vscode/docs/UXM_META_SERVICES.md,.md,document,819,28
ide/uxminima-vscode/docs/UXM_TRACE_FORMAT.md,.md,document,548,30
ide/uxminima-vscode/examples/README.md,.md,document,580,19
ide/uxminima-vscode/examples/data_sort.uxm,.uxm,uxm_test_or_program,206,24
ide/uxminima-vscode/examples/dynamic_data_address.uxm,.uxm,uxm_test_or_program,70,6
ide/uxminima-vscode/examples/fifo_watch.uxm,.uxm,uxm_test_or_program,101,11
ide/uxminima-vscode/examples/final_probe.uxm,.uxm,uxm_test_or_program,134,9
ide/uxminima-vscode/ide_okubeni.md,.md,document,2195,94
ide/uxminima-vscode/language-configuration.json,.json,other,408,21
ide/uxminima-vscode/out/README.md,.md,document,846,29
ide/uxminima-vscode/out/diagnostics.js,.js,other,6849,
ide/uxminima-vscode/out/diagnostics.js.map,.map,other,5562,
ide/uxminima-vscode/out/extension.js,.js,other,13374,
ide/uxminima-vscode/out/extension.js.map,.map,other,11926,
ide/uxminima-vscode/out/metaServices.js,.js,other,12480,
ide/uxminima-vscode/out/metaServices.js.map,.map,other,11370,
ide/uxminima-vscode/out/toolchain.js,.js,other,11087,
ide/uxminima-vscode/out/toolchain.js.map,.map,other,10285,
ide/uxminima-vscode/out/traceReader.js,.js,other,2663,
ide/uxminima-vscode/out/traceReader.js.map,.map,other,1379,
ide/uxminima-vscode/out/uxmInterpreter.js,.js,other,76008,
ide/uxminima-vscode/out/uxmInterpreter.js.map,.map,other,88403,
ide/uxminima-vscode/out/views/README.md,.md,document,584,19
ide/uxminima-vscode/out/views/memoryView.js,.js,other,8488,
ide/uxminima-vscode/out/views/memoryView.js.map,.map,other,2236,
ide/uxminima-vscode/package-lock.json,.json,other,1871,59
ide/uxminima-vscode/package.json,.json,other,7200,245
ide/uxminima-vscode/snippets/README.md,.md,document,559,18
